### Generated by the command:
### src/extract_conll.py en ./data ./splits -j statuses.json -ls tok:g sem:g
# newdoc id = p02/d0010
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A girl is styling her hair
his	his	HAS
father	father	ROL
.	.	NIL

# newdoc id = p87/d0878
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He's sitting at the table.
He	He	PRO
's	's	NOW
sitting	sitting	EXG
at	at	REL
the	the	DEF
table	table	CON
.	.	NIL

# newdoc id = p87/d0942
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The milk is in the fridge.
The	The	DEF
milk	milk	CON
is	is	ENS
in	in	REL
the	the	DEF
fridge	fridge	CON
.	.	NIL

# newdoc id = p87/d0945
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = My mother put the cake in the refrigerator.
My	My	HAS
mother	mother	ROL
put	put	EPS
the	the	DEF
cake	cake	CON
in	in	REL
the	the	DEF
refrigerator	refrigerator	CON
.	.	NIL

# newdoc id = p87/d1247
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Ms Anke Huber, however, is out: she had lost 4:6 and 1:6.
Ms	Ms	ROL
Anke~Huber	Anke~Huber	PER
,	,	NIL
however	however	BUT
,	,	NIL
is	is	NOW
out	out	IST
:	:	SUB
she	she	PRO
had	had	PST
lost	lost	EXT
4:6	4:6	SCO
and	and	GRP
1:6	1:6	SCO
.	.	NIL

# newdoc id = p87/d1269
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The more than 60 kg of heroin crossed the border in a truck.
The	The	DEF
more~than	more~than	MOR
60	60	QUC
kg	kg	UOM
of	of	AND
heroin	heroin	CON
crossed	crossed	EPS
the	the	DEF
border	border	CON
in	in	REL
a	a	DIS
truck	truck	CON
.	.	NIL

# newdoc id = p87/d1380
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How high is Mount Kinabalu?
How	How	QUE
high	high	DEG
is	is	ENS
Mount~Kinabalu	Mount~Kinabalu	GEO
?	?	QUE

# newdoc id = p87/d1381
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is the capital of Kentucky?
What	What	QUE
is	is	ENS
the	the	DEF
capital	capital	CON
of	of	REL
Kentucky	Kentucky	GPE
?	?	QUE

# newdoc id = p87/d1385
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How many inhabitants does Chechnya have?
How	How	QUE
many	many	QUV
inhabitants	inhabitants	ROL
does	does	NOW
Chechnya	Chechnya	GPE
have	have	EXS
?	?	QUE

# newdoc id = p87/d1389
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What was Mother Theresa's real name?
What	What	QUE
was	was	EPS
Mother	Mother	ROL
Theresa	Theresa	PER
's	's	HAS
real	real	IST
name	name	CON
?	?	QUE

# newdoc id = p87/d1390
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = When was the Declaration of Independence signed?
When	When	QUE
was	was	PST
the	the	DEF
Declaration~of~Independence	Declaration~of~Independence	ART
signed	signed	EXS
?	?	QUE

# newdoc id = p87/d1392
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is the national airline of Spain?
What	What	QUE
is	is	ENS
the	the	DEF
national	national	IST
airline	airline	CON
of	of	REL
Spain	Spain	GPE
?	?	QUE

# newdoc id = p87/d1475
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is busy right now.
Tom	Tom	PER
is	is	NOW
busy	busy	IST
right	right	EQU
now	now	NOW
.	.	NIL

# newdoc id = p87/d1538
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I like jazz music.
I	I	PRO
like	like	ENS
jazz	jazz	CON
music	music	CON
.	.	NIL

# newdoc id = p87/d1549
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary knows many things.
Mary	Mary	PER
knows	knows	ENS
many	many	QUV
things	things	CON
.	.	NIL

# newdoc id = p87/d1551
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He kicked the ball.
He	He	PRO
kicked	kicked	EPS
the	the	DEF
ball	ball	CON
.	.	NIL

# newdoc id = p87/d1628
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He mistook me for an Englishman.
He	He	PRO
mistook	mistook	EPS
me	me	PRO
for	for	REL
an	an	DIS
Englishman	Englishman	GPO
.	.	NIL

# newdoc id = p87/d1668
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I want two hot dogs with lots of pepper.
I	I	PRO
want	want	ENS
two	two	QUC
hot~dogs	hot~dogs	CON
with	with	REL
lots	lots	QUV
of	of	REL
pepper	pepper	CON
.	.	NIL

# newdoc id = p87/d1712
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am eating a banana.
I	I	PRO
am	am	NOW
eating	eating	EXG
a	a	DIS
banana	banana	CON
.	.	NIL

# newdoc id = p87/d1723
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am inflating my balloon.
I	I	PRO
am	am	NOW
inflating	inflating	EXG
my	my	HAS
balloon	balloon	CON
.	.	NIL

# newdoc id = p87/d1746
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = It snowed in Jerusalem.
It	It	NIL
snowed	snowed	EPS
in	in	REL
Jerusalem	Jerusalem	GPE
.	.	NIL

# newdoc id = p87/d1756
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I broke the clutch.
I	I	PRO
broke	broke	EPS
the	the	DEF
clutch	clutch	CON
.	.	NIL

# newdoc id = p87/d1772
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom attempted to kill himself.
Tom	Tom	PER
attempted	attempted	EPS
to	to	NIL
kill	kill	EXS
himself	himself	REF
.	.	NIL

# newdoc id = p87/d1813
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I bit my tongue.
I	I	PRO
bit	bit	EPS
my	my	HAS
tongue	tongue	CON
.	.	NIL

# newdoc id = p87/d1830
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom stirred the soup with a spoon.
Tom	Tom	PER
stirred	stirred	EPS
the	the	DEF
soup	soup	CON
with	with	REL
a	a	DIS
spoon	spoon	CON
.	.	NIL

# newdoc id = p87/d1859
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary put the ring on her finger.
Mary	Mary	PER
put	put	EPS
the	the	DEF
ring	ring	CON
on	on	REL
her	her	HAS
finger	finger	CON
.	.	NIL

# newdoc id = p87/d1860
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom bought Mary some chocolates.
Tom	Tom	PER
bought	bought	EPS
Mary	Mary	PER
some	some	DIS
chocolates	chocolates	CON
.	.	NIL

# newdoc id = p87/d1889
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She cleared away the dishes from the table.
She	She	PRO
cleared	cleared	EPS
away	away	REL
the	the	DEF
dishes	dishes	CON
from	from	REL
the	the	DEF
table	table	CON
.	.	NIL

# newdoc id = p87/d1902
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The politician stirred up the workers.
The	The	DEF
politician	politician	ROL
stirred	stirred	EPS
up	up	REL
the	the	DEF
workers	workers	ROL
.	.	NIL

# newdoc id = p87/d1940
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Everything is all right.
Everything	Everything	AND
is	is	NOW
all~right	all~right	IST
.	.	NIL

# newdoc id = p87/d1970
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm 25 years old.
I	I	PRO
'm	'm	NOW
25	25	QUC
years	years	UOM
old	old	DEG
.	.	NIL

# newdoc id = p87/d1988
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He cracked the walnut with his teeth.
He	He	PRO
cracked	cracked	EPS
the	the	DEF
walnut	walnut	CON
with	with	REL
his	his	HAS
teeth	teeth	CON
.	.	NIL

# newdoc id = p87/d1994
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = In the sixteenth century Turkish and Spanish pirates often encountered in Mediterranean Sea.
In	In	REL
the	the	DEF
sixteenth	sixteenth	ORD
century	century	CON
Turkish	Turkish	GPO
and	and	GRP
Spanish	Spanish	GPO
pirates	pirates	ROL
often	often	QUV
encountered	encountered	EPS
in	in	REL
Mediterranean~Sea	Mediterranean~Sea	GEO
.	.	NIL

# newdoc id = p87/d2011
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = My lips are sealed.
My	My	HAS
lips	lips	CON
are	are	NOW
sealed	sealed	IST
.	.	NIL

# newdoc id = p87/d2062
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = We're planting seeds.
We	We	PRO
're	're	NOW
planting	planting	EXG
seeds	seeds	CON
.	.	NIL

# newdoc id = p87/d2093
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Jim called me a cab.
Jim	Jim	PER
called	called	EPS
me	me	PRO
a	a	DIS
cab	cab	CON
.	.	NIL

# newdoc id = p87/d2106
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He protested against the new plan.
He	He	PRO
protested	protested	EPS
against	against	REL
the	the	DEF
new	new	IST
plan	plan	CON
.	.	NIL

# newdoc id = p87/d2113
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The matches cost ten pennies.
The	The	DEF
matches	matches	CON
cost	cost	EPS
ten	ten	QUC
pennies	pennies	UOM
.	.	NIL

# newdoc id = p87/d2118
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary showed the letter to me.
Mary	Mary	PER
showed	showed	EPS
the	the	DEF
letter	letter	CON
to	to	REL
me	me	PRO
.	.	NIL

# newdoc id = p87/d2137
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is a grouch.
Tom	Tom	PER
is	is	ENS
a	a	DIS
grouch	grouch	ROL
.	.	NIL

# newdoc id = p87/d2162
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary is sensitive to light, so she wears sunglasses.
Mary	Mary	PER
is	is	NOW
sensitive	sensitive	IST
to	to	REL
light	light	CON
,	,	NIL
so	so	COO
she	she	PRO
wears	wears	ENS
sunglasses	sunglasses	CON
.	.	NIL

# newdoc id = p87/d2198
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = All of a sudden, a fire broke out in the movie theater.
All~of~a~sudden	All~of~a~sudden	IST
,	,	NIL
a	a	DIS
fire	fire	CON
broke	broke	EPS
out	out	REL
in	in	REL
the	the	DEF
movie~theater	movie~theater	CON
.	.	NIL

# newdoc id = p87/d2242
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = His lips touched mine.
His	His	HAS
lips	lips	CON
touched	touched	EPS
mine	mine	HAS
.	.	NIL

# newdoc id = p87/d2243
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Liisa succeeded in her task.
Liisa	Liisa	PER
succeeded	succeeded	EPS
in	in	REL
her	her	HAS
task	task	CON
.	.	NIL

# newdoc id = p87/d2251
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The oven is hot.
The	The	DEF
oven	oven	CON
is	is	NOW
hot	hot	DEG
.	.	NIL

# newdoc id = p87/d2296
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm starving.
I	I	PRO
'm	'm	NOW
starving	starving	EXG
.	.	NIL

# newdoc id = p87/d2314
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom has been stabbed.
Tom	Tom	PER
has	has	NOW
been	been	PFT
stabbed	stabbed	EXS
.	.	NIL

# newdoc id = p87/d2324
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I always take a bus.
I	I	PRO
always	always	AND
take	take	ENS
a	a	DIS
bus	bus	CON
.	.	NIL

# newdoc id = p87/d2325
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A big typhoon is approaching.
A	A	DIS
big	big	DEG
typhoon	typhoon	CON
is	is	NOW
approaching	approaching	EXG
.	.	NIL

# newdoc id = p87/d2385
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I dreamed I was eating an apple pie.
I	I	PRO
dreamed	dreamed	EPS
I	I	PRO
was	was	PST
eating	eating	EXG
an	an	DIS
apple~pie	apple~pie	CON
.	.	NIL

# newdoc id = p87/d2386
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He is a soccer player.
He	He	PRO
is	is	ENS
a	a	DIS
soccer~player	soccer~player	ROL
.	.	NIL

# newdoc id = p87/d2452
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = His students adored him.
His	His	HAS
students	students	ROL
adored	adored	EPS
him	him	PRO
.	.	NIL

# newdoc id = p87/d2482
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Three men broke out of prison yesterday.
Three	Three	QUC
men	men	CON
broke	broke	EPS
out	out	REL
of	of	REL
prison	prison	CON
yesterday	yesterday	PST
.	.	NIL

# newdoc id = p87/d2484
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The stone was carved into a large statue.
The	The	DEF
stone	stone	CON
was	was	PST
carved	carved	EXS
into	into	REL
a	a	DIS
large	large	DEG
statue	statue	CON
.	.	NIL

# newdoc id = p87/d2518
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Trouble lurks.
Trouble	Trouble	CON
lurks	lurks	ENS
.	.	NIL

# newdoc id = p87/d2545
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = None of the old trees survived the fire.
None	None	NOT
of	of	REL
the	the	DEF
old	old	DEG
trees	trees	CON
survived	survived	EPS
the	the	DEF
fire	fire	CON
.	.	NIL

# newdoc id = p87/d2564
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He ran an ad in the paper.
He	He	PRO
ran	ran	EPS
an	an	DIS
ad	ad	CON
in	in	REL
the	the	DEF
paper	paper	CON
.	.	NIL

# newdoc id = p87/d2578
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The Diet will meet on Tuesday.
The	The	DEF
Diet	Diet	CON
will	will	FUT
meet	meet	EXS
on	on	REL
Tuesday	Tuesday	DOW
.	.	NIL

# newdoc id = p87/d2619
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He was holding a pen in his hand.
He	He	PRO
was	was	PST
holding	holding	EXG
a	a	DIS
pen	pen	CON
in	in	REL
his	his	HAS
hand	hand	CON
.	.	NIL

# newdoc id = p87/d2663
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The media only pays attention to hotshots.
The	The	DEF
media	media	CON
only	only	XCL
pays	pays	ENS
attention	attention	CON
to	to	REL
hotshots	hotshots	ROL
.	.	NIL

# newdoc id = p87/d2690
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm in none of the pictures, because I took them.
I	I	PRO
'm	'm	ENS
in	in	REL
none	none	NOT
of	of	REL
the	the	DEF
pictures	pictures	CON
,	,	NIL
because	because	SUB
I	I	PRO
took	took	EPS
them	them	PRO
.	.	NIL

# newdoc id = p87/d2717
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She licked the spoon.
She	She	PRO
licked	licked	EPS
the	the	DEF
spoon	spoon	CON
.	.	NIL

# newdoc id = p87/d2742
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He held a package under his arm.
He	He	PRO
held	held	EPS
a	a	DIS
package	package	CON
under	under	REL
his	his	HAS
arm	arm	CON
.	.	NIL

# newdoc id = p87/d2746
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He is now either in Rome or in Paris.
He	He	PRO
is	is	ENS
now	now	NOW
either	either	NIL
in	in	REL
Rome	Rome	GPE
or	or	DIS
in	in	REL
Paris	Paris	GPE
.	.	NIL

# newdoc id = p87/d2747
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mountains are not necessarily green.
Mountains	Mountains	CON
are	are	NOW
not	not	NOT
necessarily	necessarily	NEC
green	green	COL
.	.	NIL

# newdoc id = p87/d2831
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom's thirty.
Tom	Tom	PER
's	's	NOW
thirty	thirty	QUC
.	.	NIL

# newdoc id = p87/d2859
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The ship will call at Yokohama.
The	The	DEF
ship	ship	CON
will	will	FUT
call	call	EXS
at	at	REL
Yokohama	Yokohama	GPE
.	.	NIL

# newdoc id = p87/d2878
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The hawk caught a mouse.
The	The	DEF
hawk	hawk	CON
caught	caught	EPS
a	a	DIS
mouse	mouse	CON
.	.	NIL

# newdoc id = p87/d2904
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Are you hungry now?
Are	Are	NOW
you	you	PRO
hungry	hungry	IST
now	now	NOW
?	?	QUE

# newdoc id = p87/d3007
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The book costs fifteen dollars.
The	The	DEF
book	book	CON
costs	costs	ENS
fifteen	fifteen	QUC
dollars	dollars	UOM
.	.	NIL

# newdoc id = p87/d3010
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She fired a maid.
She	She	PRO
fired	fired	EPS
a	a	DIS
maid	maid	ROL
.	.	NIL

# newdoc id = p87/d3016
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom aimed his pistol at the target.
Tom	Tom	PER
aimed	aimed	EPS
his	his	HAS
pistol	pistol	CON
at	at	REL
the	the	DEF
target	target	CON
.	.	NIL

# newdoc id = p87/d3098
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom never quarrels with his wife in public.
Tom	Tom	PER
never	never	NOT
quarrels	quarrels	ENS
with	with	REL
his	his	HAS
wife	wife	ROL
in~public	in~public	IST
.	.	NIL

# newdoc id = p87/d3109
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom faces a dilemma.
Tom	Tom	PER
faces	faces	ENS
a	a	DIS
dilemma	dilemma	CON
.	.	NIL

# newdoc id = p87/d3138
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary wrapped herself in a towel.
Mary	Mary	PER
wrapped	wrapped	EPS
herself	herself	REF
in	in	REL
a	a	DIS
towel	towel	CON
.	.	NIL

# newdoc id = p87/d3270
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = By whom was this window broken?
By	By	REL
whom	whom	QUE
was	was	PST
this	this	PRX
window	window	CON
broken	broken	EXS
?	?	QUE

# newdoc id = p87/d3276
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = We ate the pizza.
We	We	PRO
ate	ate	EPS
the	the	DEF
pizza	pizza	CON
.	.	NIL

# newdoc id = p87/d3316
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom ponied up 100$.
Tom	Tom	PER
ponied	ponied	EPS
up	up	REL
100	100	QUC
$	$	UOM
.	.	NIL

# newdoc id = p87/d3376
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom died at the age of ninety-nine.
Tom	Tom	PER
died	died	EPS
at	at	REL
the	the	DEF
age	age	CON
of	of	REL
ninety-nine	ninety-nine	QUC
.	.	NIL

# newdoc id = p87/d3401
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She screamed for help.
She	She	PRO
screamed	screamed	EPS
for	for	REL
help	help	CON
.	.	NIL

# newdoc id = p87/d3412
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I cleared the roof of snow.
I	I	PRO
cleared	cleared	EPS
the	the	DEF
roof	roof	CON
of	of	REL
snow	snow	CON
.	.	NIL

# newdoc id = p87/d3437
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Morocco is called "Meṛṛuk" in Berber.
Morocco	Morocco	GPE
is	is	NOW
called	called	EXS
"	"	NIL
Meṛṛuk	Meṛṛuk	LIT
"	"	NIL
in	in	REL
Berber	Berber	CON
.	.	NIL

# newdoc id = p87/d3478
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom bought a present for Mary.
Tom	Tom	PER
bought	bought	EPS
a	a	DIS
present	present	CON
for	for	REL
Mary	Mary	PER
.	.	NIL

# newdoc id = p88/d0236
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Authorities in Brazil say four people from the same family have died in a mudslide in Sao Paulo state.
Authorities	Authorities	ROL
in	in	REL
Brazil	Brazil	GPE
say	say	ENS
four	four	QUC
people	people	CON
from	from	REL
the	the	DEF
same	same	IST
family	family	CON
have	have	NOW
died	died	EXT
in	in	REL
a	a	DIS
mudslide	mudslide	CON
in	in	REL
Sao~Paulo	Sao~Paulo	GPE
state	state	CON
.	.	NIL

# raw sent = Officials say the four, including two girls, died when a mudslide triggered by heavy rains caused their house to collapse.
Officials	Officials	ROL
say	say	ENS
the	the	DEF
four	four	QUC
,	,	NIL
including	including	REL
two	two	QUC
girls	girls	CON
,	,	NIL
died	died	EPS
when	when	REL
a	a	DIS
mudslide	mudslide	CON
triggered	triggered	EXS
by	by	REL
heavy	heavy	IST
rains	rains	CON
caused	caused	EPS
their	their	HAS
house	house	CON
to	to	NIL
collapse	collapse	CON
.	.	NIL

# raw sent = The incident occurred in the city of Jundiai.
The	The	DEF
incident	incident	CON
occurred	occurred	EPS
in	in	REL
the	the	DEF
city	city	CON
of	of	REL
Jundiai	Jundiai	GPE
.	.	NIL

# raw sent = The neighboring state of Minas Gerais has been hit hard by heavy flooding and mudslides.
The	The	DEF
neighboring	neighboring	IST
state	state	CON
of	of	REL
Minas~Gerais	Minas~Gerais	GPE
has	has	NOW
been	been	PFT
hit	hit	EXS
hard	hard	IST
by	by	REL
heavy	heavy	DEG
flooding	flooding	CON
and	and	GRP
mudslides	mudslides	CON
.	.	NIL

# raw sent = More than 13,000 people there have been forced to leave their homes.
More~than	More~than	MOR
13,000	13,000	QUC
people	people	CON
there	there	PRO
have	have	NOW
been	been	PFT
forced	forced	EXS
to	to	NIL
leave	leave	EXS
their	their	HAS
homes	homes	CON
.	.	NIL

# newdoc id = p88/d0760
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mrs Hobday departs London.
Mrs	Mrs	ROL
Hobday	Hobday	PER
departs	departs	ENS
London	London	GPE
.	.	NIL

# newdoc id = p88/d0778
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = It is easy for a monkey to climb a tree.
It	It	NIL
is	is	NOW
easy	easy	IST
for	for	REL
a	a	DIS
monkey	monkey	CON
to	to	NIL
climb	climb	EXS
a	a	DIS
tree	tree	CON
.	.	NIL

# newdoc id = p88/d0823
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I made a desk of wood.
I	I	PRO
made	made	EPS
a	a	DIS
desk	desk	CON
of	of	REL
wood	wood	CON
.	.	NIL

# newdoc id = p88/d0837
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He knocked at the door.
He	He	PRO
knocked	knocked	EPS
at	at	REL
the	the	DEF
door	door	CON
.	.	NIL

# newdoc id = p88/d0856
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am from Norway.
I	I	PRO
am	am	ENS
from	from	REL
Norway	Norway	GPE
.	.	NIL

# newdoc id = p88/d0893
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I drank milk.
I	I	PRO
drank	drank	EPS
milk	milk	CON
.	.	NIL

# newdoc id = p88/d0913
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am a member of the basketball team.
I	I	PRO
am	am	ENS
a	a	DIS
member	member	ROL
of	of	REL
the	the	DEF
basketball~team	basketball~team	CON
.	.	NIL

# newdoc id = p88/d0920
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She was a child, but she was brave.
She	She	PRO
was	was	EPS
a	a	DIS
child	child	CON
,	,	NIL
but	but	BUT
she	she	PRO
was	was	PST
brave	brave	IST
.	.	NIL

# newdoc id = p88/d0927
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = That dog stinks!
That	That	DST
dog	dog	CON
stinks	stinks	ENS
!	!	EMP

# newdoc id = p88/d0930
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = India is a developing country.
India	India	GPE
is	is	EQU
a	a	DIS
developing~country	developing~country	CON
.	.	NIL

# newdoc id = p88/d0942
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = There is some milk in the fridge.
There	There	NIL
is	is	ENS
some	some	DIS
milk	milk	CON
in	in	REL
the	the	DEF
fridge	fridge	CON
.	.	NIL

# newdoc id = p88/d1261
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The union wants a 5.5% increase.
The	The	DEF
union	union	CON
wants	wants	ENS
a	a	DIS
5.5	5.5	QUC
%	%	UOM
increase	increase	CON
.	.	NIL

# newdoc id = p88/d1269
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The two truck drivers were arrested.
The	The	DEF
two	two	QUC
truck~drivers	truck~drivers	ROL
were	were	PST
arrested	arrested	EXS
.	.	NIL

# newdoc id = p88/d1374
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Day is breaking.
Day	Day	CON
is	is	NOW
breaking	breaking	EXG
.	.	NIL

# newdoc id = p88/d1380
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = When did Mike Tyson bite Holyfield's ear?
When	When	QUE
did	did	PST
Mike~Tyson	Mike~Tyson	PER
bite	bite	EXS
Holyfield	Holyfield	PER
's	's	HAS
ear	ear	CON
?	?	QUE

# newdoc id = p88/d1382
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is the name of the country in the Pyrenees mountains between France and Spain?
What	What	QUE
is	is	ENS
the	the	DEF
name	name	CON
of	of	REL
the	the	DEF
country	country	CON
in	in	REL
the	the	DEF
Pyrenees	Pyrenees	GEO
mountains	mountains	CON
between	between	REL
France	France	GPE
and	and	GRP
Spain	Spain	GPE
?	?	QUE

# newdoc id = p88/d1387
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who paid the indemnities for the accident of the oil tanker "Aegean Sea"?
Who	Who	QUE
paid	paid	EPS
the	the	DEF
indemnities	indemnities	CON
for	for	REL
the	the	DEF
accident	accident	CON
of	of	REL
the	the	DEF
oil~tanker	oil~tanker	CON
"	"	NIL
Aegean~Sea	Aegean~Sea	LIT
"	"	NIL
?	?	QUE

# newdoc id = p88/d1388
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = When was Ireland separated?
When	When	QUE
was	was	PST
Ireland	Ireland	GPE
separated	separated	EXS
?	?	QUE

# newdoc id = p88/d1391
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = When did the Raiders leave Oakland?
When	When	QUE
did	did	PST
the	the	DEF
Raiders	Raiders	ORG
leave	leave	EXS
Oakland	Oakland	GPE
?	?	QUE

# newdoc id = p88/d1392
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What city is the Liberty Bell currently located in?
What	What	QUE
city	city	CON
is	is	NOW
the	the	DEF
Liberty~Bell	Liberty~Bell	ART
currently	currently	NOW
located	located	IST
in	in	REL
?	?	QUE

# newdoc id = p88/d1395
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What class of drug is Xanax?
What	What	QUE
class	class	CON
